ProductID,ProductName,UnitsSold,Revenue,COGS,GrossProfit,GrossMargin,ProfitPerUnit,ProfitShare,CumulativeProfitShare
38,Cפte de Blaye,623,141396.735,82080.25,59316.485,0.4195039227744545,95.21105136436597,0.10962013725710942,0.10962013725710942
29,Thringer Rostbratwurst,746,80368.672,46173.670000000006,34195.002,0.4254767579088528,45.83780428954424,0.06319425051479587,0.17281438777190528
59,Raclette Courdavault,1496,71155.7,41140.0,30015.7,0.4218312798553033,20.063970588235296,0.055470669812417564,0.22828505758432283
62,Tarte au sucre,1083,47234.97,26695.95,20539.02,0.4348265702296413,18.964930747922438,0.037957242266235355,0.2662422998505582
60,Camembert Pierrot,1577,46825.48,26809.0,20016.48,0.4274698305281654,12.692758402029169,0.03699155951341664,0.30323385936397484
56,Gnocchi di nonna Alice,1263,42593.06,23997.0,18596.06,0.4365983566336864,14.723721298495647,0.03436654497719213,0.337600404341167
51,Manjimup Dried Apples,886,41819.65,23479.0,18340.65,0.4385653634116976,20.700507900677202,0.033894533204127046,0.37149493754529406
17,Alice Mutton,978,32698.38,19071.0,13627.380000000001,0.4167600963717469,13.9339263803681,0.025184150174353517,0.39667908771964755
18,Carnarvon Tigers,539,29171.875,16843.75,12328.125,0.4226031065881093,22.87221706864564,0.022783055243796087,0.41946214296344364
28,Rצssle Sauerkraut,640,25696.64,14592.0,11104.64,0.4321436576922119,17.351,0.020521987454091176,0.4399841304175348
72,Mozzarella di Giovanni,806,24900.129999999997,14024.4,10875.73,0.43677402487456896,13.493461538461538,0.0200989491432485,0.4600830795607833
7,Uncle Bob's Organic Dried Pears,763,22044.3,11445.0,10599.3,0.48081817068357807,13.891612057667103,0.019588091250337572,0.4796711708111209
43,Ipoh Coffee,580,23526.7,13340.0,10186.699999999999,0.4329846514810831,17.563275862068963,0.018825583683810602,0.49849675449493147
20,Sir Rodney's Marmalade,313,22563.36,12676.5,9886.86,0.43818207926479036,31.587412140575083,0.018271462819177922,0.5167682173141094
64,Wimmers gute Semmelknצdel,740,21957.9675,12302.5,9655.4675,0.4397250109783613,13.047929054054055,0.017843836711355355,0.5346120540254647
10,Ikura,742,20867.34,11501.0,9366.34,0.44885165047389847,12.623099730458222,0.01730951313781918,0.5519215671632839
69,Gudbrandsdalsost,714,21942.36,12852.0,9090.36,0.4142836048629227,12.731596638655462,0.016799486869738443,0.5687210540330223
53,Perth Pasties,722,20574.17,11840.8,8733.37,0.42448225128887346,12.096080332409974,0.0161397496516714,0.5848608036846937
71,Flotemysost,1057,19551.025,11362.75,8188.275,0.4188156375433001,7.746712393566698,0.015132384014308291,0.599993187699002
26,Gumbהr Gummibהrchen,753,19849.1445,11758.095,8091.0495,0.40762711460939793,10.745085657370518,0.01495270592557982,0.6149458936245819
40,Boston Crab Meat,1103,17910.629999999997,10147.6,7763.03,0.4334314315018512,7.038105167724388,0.014346507790052936,0.6292924014146348
16,Pavlova,1158,17215.7755,10103.55,7112.2255,0.41312257469900204,6.141818221070811,0.013143785163829476,0.6424361865784644
27,Schoggi Schokolade,365,15099.875,8011.75,7088.125,0.4694161375508075,19.419520547945204,0.01309924611000717,0.6555354326884715
63,Vegie-spread,445,16701.095,9767.75,6933.344999999999,0.4151431388181433,15.580550561797752,0.012813204129524755,0.6683486368179963
76,Lakkalikצצri,981,15760.44,8829.0,6931.44,0.4397999040635921,7.065688073394495,0.012809683584410278,0.6811583204024065
55,Pגtי chinois,903,17426.4,10836.0,6590.4,0.3781848230271312,7.298338870431893,0.012179422846435589,0.6933377432488421
2,Chang,1057,16355.96,10041.5,6314.46,0.38606477394173133,5.973945127719962,0.011669470500561979,0.7050072137494041
31,Gorgonzola Telino,1397,14920.875,8731.25,6189.625,0.4148298943594126,4.4306549749463136,0.011438768532390883,0.716445982281795
65,Louisiana Fiery Hot Pepper Sauce,745,13869.89,7841.125,6028.765,0.43466566786037963,8.092302013422819,0.01114149037642499,0.72758747265822
36,Inlagd Sill,805,13458.46,7647.5,5810.96,0.4317700539289042,7.218583850931677,0.010738974718336269,0.7383264473765563
61,Sirop d'יrable,603,14352.6,8592.75,5759.85,0.40131056393963466,9.551990049751245,0.010644520618178263,0.7489709679947345
12,Queso Manchego La Pastora,344,12257.66,6536.0,5721.66,0.466782403819326,16.632732558139534,0.010573943390922652,0.7595449113856572
35,Steeleye Stout,883,13644.0,7947.0,5697.0,0.4175461741424802,6.451868629671575,0.010528370350228142,0.7700732817358853
